DTC 	DTC Text
P224600 	O2 Sensor Reference Voltage Circuit Bank 1 Sensor 1 High
P224700 	O2 Sensor Reference Voltage Circuit Bank 2 Sensor 1 Open
P224800 	O2 Sensor Reference Voltage Bank 2 Sensor 1 Performance
P224900 	O2 Sensor Reference Voltage Circuit Bank 2 Sensor 1 Low
P225000 	O2 Sensor Reference Voltage Circuit Bank 2 Sensor 1 High
P225100 	O2 Sensor Negative Current Control Circuit Bank 1 Sensor 1 open
P225200 	O2 Sensor Negative Current Control Circuit Bank 1 Sensor 1 Low
P225300 	O2 Sensor Negative Current Control Circuit Bank 1 Sensor 1 High
P225400 	O2 Sensor Negative Current Control Circuit Bank 2 Sensor 1 open
P225500 	O2 Sensor Negative Current Control Circuit Bank 2 Sensor 1 Low
P225600 	O2 Sensor Negative Current Control Circuit Bank 2 Sensor 1 High
P225700 	Secondary air injektion System Control "A" Circuit low
P225800 	Secondary air injektion System Control "A" Circuit high
P226100 	Turbo Boost Pressure Not Detected Mechanical
P226200 	Turbocharger/Supercharger Boost Pressure Not Detected Mechanical
P226300 	Turbocharger/Supercharger Boost System Performance
P227000 	O2 Sensor Signal Stuck Lean; Bank 1 Sensor 2
P227100 	O2 Sensor Signal Stuck Rich; Bank 1 Sensor 2
P227200 	O2 Sensor Signal Stuck Lean; Bank 2 Sensor 2
P227300 	O2 Sensor Signal Stuck Rich; Bank 2 Sensor 2
P227400 	O2 Sensor Signal Stuck Lean; Bank 1 Sensor 3
P227500 	O2 Sensor Signal Stuck Rich; Bank 1 Sensor 3
P227600 	O2 Sensor Signal Stuck Lean; Bank 2 Sensor 3
P227700 	O2 Sensor Signal Stuck Rich; Bank 2 Sensor 3
P227800 	O2 Sensor Signals Swapped Bank 1 Sensor 3 / Bank 2 Sensor 3
P227900 	Intake Air System Leak
P228C00 	Fuel Pressure Regulator 1 Exceeded Control Limits Pressure Too Low
P228D00 	Fuel Pressure Regulator 1 Exceeded Control Limits Pressure Too High
P228E00 	Fuel Pressure Regulator 1 Exceeded Learning Limits Too Low
P228F00 	Fuel Pressure Regulator 1 Exceeded Learning Limits Too High
P229300 	Fuel Pressure Regulator 2 Performance
P229400 	Fuel Pressure Regulator 2 Control Circuit
P229500 	Fuel Pressure Regulator 2 Control Circuit Low
P229600 	Fuel Pressure Regulator 2 Control Circuit High
P229700 	02 Sensor Bank 1 Sensor 1 Out of Range During Deceleration
P229800 	02 Sensor Bank 2 Sensor 1 Out of Range During Deceleration
P229A00 	Fuel Pressure Regulator 2 Exceeded Control Limits Pressure Too Low
P229B00 	Fuel Pressure Regulator 2 Exceeded Control Limits Pressure Too High
P229E00 	NOx Sensor Bank 1 Sensor 2 Circuit
P229F00 	NOx Sensor Circuit Range/Performance Bank 1 Sensor 2
P22A000 	NOx Sensor Bank 1 Sensor 2 Circuit Low
P22A100 	NOx Sensor Bank 1 Sensor 2 Circuit High
P22A700 	NOx Sensor Heater Sense Bank 1 Sensor 2 Circuit Range/Performance
P230000 	Ignition Coil "A" Primary Control Circuit Low
P230100 	Ignition Coil "A" Primary Control Circuit High
P230200 	Ignition Coil "A" Secondary Circuit
P230300 	Ignition Coil "B" Primary Control Circuit Low
P230400 	Ignition Coil "B" Primary Control Circuit High
P230500 	Ignition Coil "B" Secondary Circuit
P230600 	Ignition Coil "C" Primary Control Circuit Low
P230700 	Ignition Coil "C" Primary Control Circuit High
P230800 	Ignition Coil "C" Secondary Circuit
P230900 	Ignition Coil "D" Primary Control Circuit Low
P231000 	Ignition Coil "D" Primary Control Circuit High
P231100 	Ignition Coil "D" Secondary Circuit
P231200 	Ignition Coil "E" Primary Control Circuit Low
P231300 	Ignition Coil "E" Primary Control Circuit High
P231400 	Ignition Coil "E" Secondary Circuit
P231500 	Ignition Coil "F" Primary Control Circuit Low
P231600 	Ignition Coil "F" Primary Control Circuit High
P231700 	Ignition Coil "F" Secondary Circuit
P231800 	Ignition Coil "G" Primary Control Circuit Low
P231900 	Ignition Coil "G" Primary Control Circuit High
P232000 	Ignition Coil "G" Secondary Circuit
P232100 	Ignition Coil "H" Primary Control Circuit Low
P232200 	Ignition Coil "H" Primary Control Circuit High
P232300 	Ignition Coil "H" Secondary Circuit
P232400 	Ignition Coil "I" Primary Control Circuit Low
P232500 	Ignition Coil "I" Primary Control Circuit High
P232600 	Ignition Coil "I" Secondary Circuit
P232700 	Ignition Coil "J" Primary Control Circuit Low
P232800 	Ignition Coil "J" Primary Control Circuit High
P232900 	Ignition Coil "J" Secondary Circuit
P233000 	Ignition Coil "K" Primary Control Circuit Low
P233100 	Ignition Coil "K" Primary Control Circuit High
P233200 	Ignition Coil "K" Secondary Circuit
P233300 	Ignition Coil "L" Primary Control Circuit Low
P233400 	Ignition Coil "L" Primary Control Circuit High
P233500 	Ignition Coil "L" Secondary Circuit
P233600 	Cylinder #1 Above Knock Threshold
P233700 	Cylinder #2 Above Knock Threshold
P233800 	Cylinder #3 Above Knock Threshold
P233900 	Cylinder #4 Above Knock Threshold
P234000 	Cylinder #5 Above Knock Threshold
P234100 	Cylinder #6 Above Knock Threshold
P234200 	Cylinder #7 Above Knock Threshold
P234300 	Cylinder #8 Above Knock Threshold
P234400 	Cylinder #9 Above Knock Threshold
P234500 	Cylinder #10 Above Knock Threshold
P234600 	Cylinder #11 Above Knock Threshold
P234700 	Cylinder #12 Above Knock Threshold
P240000 	Evaporative Emission System Leak Detection Pump Control Circuit/Open
P240100 	Evaporative Emission System Leak Detection Pump Control Circuit Low
P240200 	Evaporative Emission System Leak Detection Pump Control Circuit High
P240300 	Evaporative Emission System Leak Detection Pump Sense Circuit/Open
P240400 	Evaporative Emission System Leak Detection Pumpe Sense Circuit Range/Performance
P241300 	Exhaust Gas Recirculation System Performance
P241400 	02 Sensor Exhaust Sample Error, Bank 1 Sensor 1
P241500 	02 Sensor Exhaust Sample Error, Bank 2 Sensor 1
P241600 	Oxygen Sensor Signals Swapped Bank 1 Sensor 2 / Bank 1 Sensor 3
P241700 	Oxygen Sensor Signals Swapped Bank 2 Sensor 2 / Bank 2 Sensor 3
P242100 	Evaporative Emission System Vent Valve Stuck Open
P242200 	Evaporative Emission System Vent Valve Stuck Closed
P242500 	Exhaust Gas Recirculation Cooling Valve Control Circuit Open
P242600 	Exhaust Gas Recirculation Cooling Valve Control Circuit Low
P242700 	Exhaust Gas Recirculation Cooling Valve Control Circuit High
P242800 	Exhaust Gas Temperature Too High Bank1
P242900 	Exhaust Gas Temperature Too High Bank2
P242A00 	Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 3
P242B00 	Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 3 Range/Performance
P242C00 	Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 3
P242D00 	Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 3
P242F00 	Diesel Particulate Filter Restriction - Ash Accumulation
P243000 	Secondary Air Injection System Air Flow/Pressure Bank 1 Sensor Circuit
P243100 	Secondary Air Injection System Air Flow/Pressure Bank 1 Sensor Circuit Range/Performance
P243200 	Secondary Air Injection System Air Flow/Pressure Bank 1 Sensor Circuit Low
P243300 	Secondary Air Injection System Air Flow/Pressure Bank 1 Sensor Circuit High
P244000 	Secondary Air Injection System Switching Valve Stuck Open Bank1
P244200 	Secondary Air Injection System Switching Valve Stuck Open Bank2
P244C00 	Exhaust Temperature Too Low For Particulate Filter Regeneration Bank 1
P245200 	Diesel Particulate Filter Differential Pressure Sensor Circuit
P245300 	Diesel Particulate Filter Differential Pressure Sensor Circuit Range/Performance
P245400 	Diesel Particulate Filter Differential Pressure Sensor Circuit Low
P245500 	Diesel Particulate Filter Differential Pressure Sensor Circuit High
P245600 	Diesel Particulate Filter Pressure Sensor "A" Circuit Intermittent/Erratic
P245700 	Exhaust Gas Recirculation Cooling System Performance
P245B00 	Exhaust Gas Recirculation Cooler Bypass Control Circuit Range/Performance
P245E00 	Diesel Particulate Filter Pressure Sensor "B" Circuit
P246000 	Diesel Particulate Filter Pressure Sensor "B" Circuit Low
P246300 	Diesel Particulate Filter - Soot Accumulation
P246600 	Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 3
P246700 	Exhaust Gas Temperature Sensor Circuit Range/Performance Bank 2 Sensor 3
P246800 	Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 3
P246E00 	Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 4
P246F00 	Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 4 Range/Performance
P247000 	Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 4
P247100 	Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 4
P247300 	Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 4
P247400 	Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 4 Range/Performance
P247500 	Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 4
P247600 	Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 4
P247800 	Exhaust Gas Temperature Out of Range Bank 1 Sensor 1
P247A00 	Exhaust Gas Temperature Out of Range Bank 1 Sensor 3
P251000 	ECM/PCM Power Relay Sense Circuit Range/Performance
P251900 	A/C Request "A" Circuit
P252000 	A/C Request "A" Circuit Low
P252100 	A/C Request "A" Circuit High
P253300 	Ignition Switch Run/ Start Position Curciut
P253500 	Ignition Switch Run/ Start Position Curciut High
P253900 	Low Pressure Fuel System Sensor Circuit
P254000 	Low Pressure Fuel System Sensor Circuit Range/Performance
P254100 	Low Pressure Fuel System Sensor Circuit Low Input
P254200 	Low Pressure Fuel System Sensor Circuit High Input
P254300 	Low Pressure Fuel System Sensor Circuit Intermittent
P254500 	Torque Management Request Input Signal "A" Range/Performance
P256200 	Turbocharger Boost Control Position Sensor "A" Circuit
P256300 	Turbocharger Boost Control Position Sensor Circuit Range/Performance
P256400 	Turbocharger Boost Control Position Sensor Circuit Low
P256500 	Turbocharger Boost Control Position Sensor Circuit High
P256600 	Turbocharger Boost Control Position Sensor Circuit Intermittent
P256800 	Direct Ozone Reduction Catalyst Temperature Sensor Circuit Range/Performance
P256900 	Direct Ozone Reduction Catalyst Temperature Sensor Circuit Low
P257000 	Direct Ozone Reduction Catalyst Temperature Sensor Circuit High
P257800 	Turbocharger Speed Sensor "A" Circuit
P257900 	Turbocharger Speed Sensor "A" Circuit Range/Performance
P258000 	Turbocharger Speed Sensor "A" Circuit Low
P258100 	Turbocharger Speed Sensor "A" Circuit High
P258200 	Turbocharger Speed Sensor "A" Circuit Intermittent
P258800 	Turbocharger Boost Control Position Sensor "B" Circuit Low
P258900 	Turbocharger Boost Control Position Sensor "B" Circuit High
P259300 	Turbocharger Speed Sensor "B" Circuit
P259400 	Turbocharger Speed Sensor "B" Circuit Range/Performance
P259500 	Turbocharger Speed Sensor "B" Circuit Low
P259600 	Turbocharger Speed Sensor "B" Circuit High
P259700 	Turbocharger Speed Sensor "B" Circuit Intermittent
P260000 	Coolant Pump Control Circuit open
P260100 	Coolant Pump Control Circuit range/performance
P260200 	Coolant Pump Control Circuit low
P260300 	Coolant Pump Control Circuit high
P261000 	ECM/PCM Internal Engine Off Timer Performance
P261200 	A/C Refrigerant Distribution Valve Control Circuit Low
P261300 	A/C Refrigerant Distribution Valve Control Circuit High
P261A00 	Coolant Pump "B" Control Circuit/Open
P261B00 	Coolant Pump "B" Control Circuit Range/Performance
P261C00 	Coolant Pump "B" Control Circuit Low
P261D00 	Coolant Pump "B" Control Circuit High
P262600 	O2 Sensor Pumping Current Trim Circuit/Open Bank 1, Sensor 1
P262900 	O2 Sensor Pumping Current Trim Circuit/Open Bank 2, Sensor 1
P263200 	Fuel Pump "B" Control Circuit Open
P263300 	Fuel Pump "B" Control Circuit Low
P263400 	Fuel Pump "B" Control Circuit High
P263700 	Torque Management Feedback Signal "A"
P270000 	Transmission Friction Element "A" Apply Time Range/Performance
P270100 	Transmission Friction Element "B" Apply Time Range/Performance
P270200 	Transmission Friction Element "C" Apply Time Range/Performance
P270300 	Transmission Friction Element "D" Apply Time Range/Performance
P270400 	Transmission Friction Element "E" Apply Time Range/Performance
P270500 	Transmission Friction Element "F" Apply Time Range/Performance
P270800 	Shift Solenoid F Stuck On
P271100 	Unexpected Mechanical Gear Disengagement
P271400 	Pressure Control Solenoid "D" Performance or Stuck Off
P271500 	Pressure Control Solenoid "D" Stuck On
P271600 	Pressure Control Solenoid "D" Electrical
P271700 	Pressure Control Solenoid "D" Intermittent
P272300 	Pressure Control Solenoid "E" Performance or Stuck Off
P272400 	Pressure Control Solenoid "E" Stuck On
P272500 	Pressure Control Solenoid "E" Electrical
P272600 	Pressure Control Solenoid "E" Intermittent
P273200 	Pressure Control Solenoid "F" Performance or Stuck Off
P273300 	Pressure Control Solenoid "F" Stuck On
P273400 	Pressure Control Solenoid "F" Electrical
P273500 	Pressure Control Solenoid "F" Intermittent
P275300 	Transmission Fluid Cooler Control Circuit/Open
P275400 	Transmission Fluid Cooler Control Circuit Low
P275500 	Transmission Fluid Cooler Control Circuit High
P276500 	Input Turbine/Speed Sensor "B" Circuit
P276600 	Input Turbine/Speed Sensor "B" Circuit Range/Performance
P278700 	Clutch Temperature Too High
P278900 	Clutch Adaptive Learning at Limit
P278B00 	Kick Down Switch Circuit Range/Performance
P281000 	Pressure Control Solenoid "G" Electrical
P281200 	Pressure Control Solenoid "G" Control Circuit/Open
P281400 	Pressure Control Solenoid "G" Control Circuit Low
P281500 	Pressure Control Solenoid "G" Control Circuit High
P2BA700 	NOx Exceedence - Empty Reagent Tank
P300000 	Glow Plug Indicator Light -K29- Malfunction message from instrument cluster
P300100 	Operating RPM regulation Control difference
P300200 	Kick Down Switch -F8- Implausible signal
P300300 	Low heat output relay-J359 Short circuit to B+
P300400 	Low heat output relay-J359 Open circuit/short circuit to ground
P300500 	High heat output relay -J360 Short circuit to B+
P300600 	High heat output relay -J360 Open circuit/short circuit to ground
P300700 	Camshaft Position (CMP) Sensor -G40- No signal
P300800 	Camshaft Position (CMP) Sensor -G40- Signal outside tolerance
P300900 	Relay for pump, fuel cooling -J445- Short circuit to B+
P300A00 	Diesel Particulate Filter Differential Pressure Sensor Implausible signal
P300B00 	Diesel Particulate Filter Differential Pressure Sensor Short-circuit to ground
P300C00 	Diesel Particulate Filter Differential Pressure Sensor Short circuit to B+
P300D00 	Diesel Particulate Filter Differential Pressure Sensor Electrical malfunction
P300E00 	Particulate Trap Bank 2 restriction
P300F00 	Fuel bypass valve Open circuit
P301000 	Relay for pump, fuel cooling -J445- Open circuit/short circuit to ground
P301100 	Fuel Pump (FP) 2 Relay -J49- Short circuit to B+
P301200 	Fuel Pump (FP) 2 Relay -J49- Open circuit/short circuit to ground
P301300 	Wastegate Bypass Regulator Valve 2 -N274- Short circuit to B+
P301400 	Wastegate Bypass Regulator Valve 2 -N274- Open circuit/short circuit to ground
P301500 	Fuel Bypass Valve -N312- Short circuit to B+
P301600 	Fuel Bypass Valve -N312- Open circuit/short circuit to ground
P301700 	Exhaust Flap Valve 1 -N321- Short circuit to B+
P301800 	Exhaust Flap Valve 1 -N321- Short-circuit to ground
P301900 	Exhaust Flap Valve 1 -N321- Open circuit
P301A00 	Exhaust flap sensor bank 2 Electrical malfunction
P301B00 	Exhaust flap sensor bank 2 Implausible signal
P301C00 	Exhaust flap sensor bank 2 Short circuit to B+
P301D00 	Exhaust flap bank 2 Electrical malfunction
P301E00 	Exhaust flap bank 2 Control difference
P301F00 	Exhaust flap bank 2 Short circuit to B+
P302000 	Exhaust Flap Valve 1 -N321- Electrical malfunction in circuit
P302100 	Exhaust Flap Valve 2 -N322- Short circuit to B+
P302200 	Exhaust Flap Valve 2 -N322- Short-circuit to ground
P302300 	Exhaust Flap Valve 2 -N322- Open circuit
P302400 	Exhaust Flap Valve 2 -N322- Electrical malfunction in circuit
P302500 	Throttle Drive Angle Sensor 1 -G297 Implausible signal
P302600 	Throttle Drive Angle Sensor 1 -G297 Signal too low
P302700 	Throttle Drive Angle Sensor 1 -G297 Signal too high
P302800 	Throttle Drive Angle Sensor 2 -G298 Implausible signal
P302900 	Throttle Drive Angle Sensor 2 -G298 Signal too low
P302A00 	Low heat output relay Open circuit
P302B00 	Relay for Preheating Coolant, High Heat Output Open circuit
P302C00 	Low heat output relay Short-circuit to ground
P302D00 	Relay for Preheating Coolant, High Heat Output Short-circuit to ground
P302E00 	Relay for pump, fuel cooling Open circuit
P302F00 	Relay for pump, fuel cooling Short-circuit to ground
P303000 	Throttle Drive Angle Sensor 2 -G298 Signal too high
P303100 	Throttle Actuator 2 electrical malfunction in circuit
P303200 	Throttle Valve Control Module 2 -J544- Malfunction in basic settings
P303300 	Intake Air Temp.Circ.2 Signal too low
P303400 	Intake Air Temp.Circ.2 Signal too high
P303500 	Throttle Valve Control Module 2 -J544- Mechanical malfunction
P303600 	Throttle Valve Control Module 2 -J544- insufficient voltage during basic settings
P303700 	Throttle Valve Control Module 2 -J544- Adaptation not initiated
P303800 	Throttle Valve Control Module 2 -J544- lower stop not reached
P303900 	Transmission request torque reduction Implausible
P303A00 	Auxiliary Fuel Pump (FP) Relay Open circuit
P303B00 	Auxiliary Fuel Pump (FP) Relay Short-circuit to ground
P303C00 	Auxiliary Fuel Pump (FP) Relay Short circuit to B+
P303D00 	Cold start valve Open circuit
P303E00 	Cold start valve Short circuit to B+
P303F00 	Cold start valve Short-circuit to ground
P304000 	Transmission ratio Implausible
P304100 	Databus drivetrain implausible engine temperature message from instrument ECU
P304200 	Heater regulation Implausible signal
P304300 	Throttle Transfer Fuel Pump (FP) Mechanical malfunction
P304400 	Throttle Transfer Fuel Pump (FP) Short circuit
P304500 	Fuel pump electronics Defective
P304600 	Starter relay 1 Electrical malfunction in circuit (relay stuck/does not switch)
P304700 	Activation starter relay 2 Short circuit to B+
P304800 	Activation starter relay 2 Short-circuit to ground
P304900 	Activation starter relay 2 Open circuit
P304A00 	Starter relay 1 Short-circuit to ground
P304B00 	Potentiometer for heater control Electrical malfunction
P305000 	Starter relay 2 Electrical malfunction in circuit (relay stuck/does not switch)
P305100 	Starter activation, return message terminal 50 Implausible signal
P305200 	Starter activation, return message terminal 50 Short circuit to B+
P305300 	Starter activation, return message terminal 50 Short circuit to ground/open circuit
P305400 	Starter does not turn Mechanically blocked or electrical malfunction
P305500 	Exhaust Pressure Sensor 2 Open circuit
P305600 	Exhaust Pressure Sensor 2 Short-circuit to ground
P305700 	Exhaust Pressure Sensor 2 Short circuit to B+
P305800 	Exhaust Gas Recirc.Flow 2 Flow too Low
P305900 	Exhaust Gas Recirc.Flow 2 throughput too large
P305A00 	Gasoline operation Random/Multiple Cylinder. Misfire Detected
P306000 	Cooling Bypass Valve, Exhaust Gas Recirculation Flow Electrical malfunction
P306100 	Cooling Bypass Valve 2, Exhaust Gas Recirculation Flow Electrical malfunction
P306200 	Turbo/Super Charger 2 Overboost Condition
P306300 	Turbo/Super Charger 2 Underboost condition
P306400 	Boost Pressure Contr.Valve 3 Circuit Electrical malfunction
P306500 	Boost Pressure Contr.Valve 3 Circuit Short-circuit to ground
P306600 	Boost Pressure Contr.Valve 3 Circuit Short circuit to B+
P306700 	Boost Pressure Contr.Valve 4 Circuit Electrical malfunction
P306800 	Boost Pressure Contr.Valve 4 Circuit Short-circuit to ground
P306900 	Boost Pressure Contr.Valve 4 Circuit Short circuit to B+
P307000 	Metering pump for cleaning solution Defective
P307100 	Additive tank for particle filter empty
P307200 	Voltage supply relay Electrical malfunction in circuit
P307300 	Throttle Transfer Fuel Pump (FP) Electrical malfunction in circuit
P307400 	Fuel Pump 2 Electrical malfunction in circuit
P307500 	Turbo boost 1/2 Trim Adaptation Limit Attained
P307600 	Engine Control Module (ECM) Error during coding
P307700 	Fuel Pump Electronics, voltage supply Electrical malfunction
P307800 	Throttle Valve Control Module Air Flow at idle too Low
P307900 	Cold Start Fuel Pump (FP) Relay Short circuit to B+
P307A00 	Intake system Air flow too low
P307B00 	Activation Fuel pump module 2 Electrical malfunction/open
P307C00 	Activation Fuel pump module 2 Implausible signal
P307D00 	Activation Fuel pump module 2 Short-circuit to ground
P307E00 	Activation Fuel pump module 2 Short circuit to B+
P308000 	Cold Start Fuel Pump (FP) Relay -J748 Short circuit to ground/open circuit
P308100 	Engine temperature too low
P308200 	Clutch positioning sensor Implausible signal
P308300 	Fuel level sensor for additive tank particulate trap, Electrical malfunction in circuit
P308400 	Recirculating valve for turbocharger bank 2 Mechanical malfunction
P308500 	Activation Intake Manifold Runner Bank 2 Control Electrical malfunction
P308600 	Intake Manifold Runner Bank 2 Basic settings not carried out
P308700 	Supply relay for engine components Electrical malfunction in circuit
P308800 	Starter relay Electrical malfunction in circuit
P308900 	Fuel pump electronics signal wire Electrical malfunction
P308A00 	Fuel pump electronics NG operation signal wire Short circuit to B+
P308B00 	Fuel pump electronics NG operation signal wire Short-circuit to ground
P308C00 	Fuel pump electronics NG operation signal wire Open circuit
P308D00 	Throttle Transfer Fuel Pump (FP) Engine speed too low
P308E00 	Fuel pump electronics Excess temperature
P309000 	Auxiliary heater signal not recognized
P309100 	Auxiliary heater signal constant detected
P309200 	Control module defective
P309300 	Control module defective
P309400 	Control module defective
P309500 	Control module defective
P309600 	Control module defective
P309700 	Control module defective
P309800 	Control module defective
P309900 	Control module defective
P310000 	Intake Flap Motor -V157 Short circuit to B+
P310100 	Intake Flap Motor -V157 Open circuit/short circuit to ground
P310200 	Intake Flap Motor -V157 No signal
P310300 	Intake Flap Motor -V157 Defective
P310400 	Intake manifold flap change-over valve- N239 Short circuit to B+
P310500 	Intake manifold flap change-over valve- N239 Open circuit/short circuit to ground
P310600 	Cylinder 7 Pump/Injector -N303- Implausible signal
P310700 	Cylinder 7 Pump/Injector -N303- Value above upper control limit
P310800 	Cylinder 7 Pump/Injector -N303- Value below lower control limit
P310900 	Cylinder 7 Pump/Injector -N303- Electrical malfunction in circuit
P310A00 	Low Fuel Pressure regulation Fuel pressure fluctuates
P310B00 	Low Fuel Pressure regulation Fuel pressure outside specification
P310C00 	Low Fuel Pressure regulation Fuel pressure breaks down sporadically
P310D00 	Fuel Pressure Regulation Fuel pressure fluctuates
P310E00 	Exhaust gas recirculation cooler bypass valve 2 Implausible signal
P311000 	Cylinder 8 Pump/Injector -N304- Implausible signal
P311100 	Cylinder 8 Pump/Injector -N304- Value above upper control limit
P311200 	Cylinder 8 Pump/Injector -N304- Value below lower control limit
P311300 	Cylinder 8 Pump/Injector -N304- Electrical malfunction in circuit
P311400 	Cylinder 9 Pump/Injector -N305- Implausible signal
P311500 	Cylinder 9 Pump/Injector -N305- Value above upper control limit
P311600 	Cylinder 9 Pump/Injector -N305- Value below lower control limit
P311700 	Cylinder 9 Pump/Injector -N305- Electrical malfunction in circuit
P311800 	Cylinder 10 Pump/Injector -N306- Implausible signal
P311900 	Cylinder 10 Pump/Injector -N306- Value above upper control limit
P312000 	Cylinder 10 Pump/Injector -N306- Value below lower control limit
P312100 	Cylinder 10 Pump/Injector -N306- Electrical malfunction in circuit
P312200 	Cylinder 11 Pump/Injector -N307- Implausible signal
P312300 	Cylinder 11 Pump/Injector -N307- Value above upper control limit
P312400 	Cylinder 11 Pump/Injector -N307- Value below lower control limit
P312500 	Cylinder 11 Pump/Injector -N307- Electrical malfunction in circuit
P312600 	Cylinder 12 Pump/Injector -N308- Implausible signal
P312700 	Cylinder 12 Pump/Injector -N308- Value above upper control limit
P312800 	Cylinder 12 Pump/Injector -N308- Value below lower control limit
P312900 	Cylinder 12 Pump/Injector -N308- Electrical malfunction in circuit
P313000 	Exhaust Gas Recirculation (EGR) system Value above upper control limit
P313100 	Exhaust Gas Recirculation (EGR) system Value below lower control limit
P313200 	Glow Plug Module 2, Control Circuit Electrical malfunction in circuit
P313300 	Automatic Glow Time Control Relay 2-J609 Implausible signal
P313400 	Intake Manifold Runner Control (IMRC) Upper stop not reached
P313500 	Intake Manifold Runner Control (IMRC) lower limit not reached
P313600 	Intake Manifold Runner Control (IMRC) Target value not reached
P313700 	Intake Manifold Runner Control (IMRC) Basic settings not carried out
P313800 	Intake Manifold Runner Control (IMRC) Control difference
P313900 	Intake Manifold Runner Control (IMRC) Signal outside tolerance
P313A00 	Intake Manifold Runner Control (IMRC), bank 2 Signal outside tolerance
P313B00 	Intake Manifold Runner Control (IMRC), bank 2 Control difference
P313C00 	Intake Manifold Runner Control (IMRC), bank 2 difficulty of movement or blocked
P313D00 	Intake Manifold Runner Control (IMRC) difficulty of movement or blocked
P314000 	Valve for starting with empty tank -N349 Open circuit/short circuit to ground
P314100 	Valve for starting with empty tank -N349 Short circuit to B+
P314200 	Exhaust-bank2,sensor1,oxygen sensor signal implausible lean
P314300 	Exhaust-bank2,sensor1,oxygen sensor signal Implausible rich
P314400 	Exhaust-bank3,sensor1,oxygen sensor signal implausible lean
P314500 	Exhaust-bank3,sensor1,oxygen sensor signal Implausible rich
P314600 	Exhaust-bank4,sensor1,oxygen sensor signal implausible lean
P314700 	Exhaust-bank4,sensor1,oxygen sensor signal Implausible rich
P314800 	Exhaust bank 3, O2 sensor before cat. conv., heater circuit Regulation at upper impact
P314900 	Exhaust bank 3, O2 sensor before cat. conv., heater circuit Regulation at lower impact
P315000 	Exhaust bank 4, O2 sensor before cat. conv., heater circuit Regulation at upper impact
P315100 	Exhaust bank 4, O2 sensor before cat. conv., heater circuit Regulation at lower impact
P315200 	Exhaust gas bank3, sensor1 Internal resistance too Large
P315300 	Exhaust gas bank4, sensor1 Internal resistance too Large
P315400 	Exhaust-bank2-sensor1 Voltage too low/air leak
P315500 	Emissions-bank3-sensor1 Voltage too low/air leak
P315600 	Emissions-bank4-sensor1 Voltage too low/air leak
P315700 	Exhaust-bank1,sensor1,oxygen sensor signal Voltage too low during deceleration
P315800 	Exhaust-bank2,sensor1,oxygen sensor signal Voltage too low during deceleration
P315900 	Exhaust-bank3,sensor1,oxygen sensor signal Voltage too low during deceleration
P316000 	Exhaust-bank4,sensor1,oxygen sensor signal Voltage too low during deceleration
P316100 	Linear oxy. sensor,exh-bank1/compensat. wire pump current Open circuit
P316200 	Linear oxy. sensor,exh-bank2/compensat. wire pump current Open circuit
P316300 	Linear oxy. sensor,exh-bank3/compensat. wire pump current Open circuit
P316400 	Linear oxy. sensor,exh-bank4/compensat. wire pump current Open circuit
P316500 	Exhaust-bank3,oxygen sensor correction behind cat Lean control limit exceeded
P316600 	Exhaust-bank3,oxygen sensor correction behind cat Rich control limit exceeded
P316700 	Exhaust-bank4,oxygen sensor correction behind cat Lean control limit exceeded
P316800 	Exhaust-bank4,oxygen sensor correction behind cat Rich control limit exceeded
P316900 	Exhaust-bank3 main catalytic converter Efficiency below threshold
P317000 	Exhaust-bank4 main catalytic converter Efficiency below threshold
P317100 	Exhaust-bank1, mixture adaptation range 3 System too lean
P317200 	Exhaust-bank1, mixture adaptation range 3 System too rich
P317300 	Exhaust-bank2, mixture adaptation range 3 System too lean
P317400 	Exhaust-bank2, mixture adaptation range 3 System too rich
P317500 	Exhaust bank3, mixture adaptation range 3 System too lean
P317600 	Exhaust bank3, mixture adaptation range 3 System too rich
P317700 	Exhaust bank4, mixture adaptation range 3 System too lean
P317800 	Exhaust bank4, mixture adaptation range 3 System too rich
P317900 	Cyl.13-Fuel Inj.Circ. Short-circuit to ground
P318000 	Cyl.13-Fuel Inj.Circ. Short circuit to B+
P318100 	Cyl.13-Fuel Inj.Circ. Open circuit
P318200 	Cyl.14-Fuel Inj.Circ. Short-circuit to ground
P318300 	Cyl.14-Fuel Inj.Circ. Short circuit to B+
P318400 	Cyl.14-Fuel Inj.Circ. Open circuit
P318500 	Cyl.15-Fuel Inj.Circ. Short-circuit to ground
P318600 	Cyl.15-Fuel Inj.Circ. Short circuit to B+
